hour_of_day,day_name,member_casual,number_of_rides
16,Wednesday,member,6998
16,Thursday,casual,2274
16,Thursday,member,5455
16,Friday,casual,2732
16,Friday,member,4653
16,Saturday,casual,3354
16,Saturday,member,3157
17,Sunday,casual,2247
17,Sunday,member,2630
17,Monday,casual,2324
17,Monday,member,6030
17,Tuesday,casual,2281
17,Tuesday,member,6651
17,Wednesday,casual,3332
17,Wednesday,member,8509
17,Thursday,casual,2767
17,Thursday,member,6747
17,Friday,casual,3084
17,Friday,member,5179
17,Saturday,casual,3002
17,Saturday,member,3078
18,Sunday,casual,1914
18,Sunday,member,2351
18,Monday,casual,2171
18,Monday,member,4762
18,Tuesday,casual,1960
18,Tuesday,member,4743
18,Wednesday,casual,2937
18,Wednesday,member,6047
18,Thursday,casual,2382
18,Thursday,member,4820
18,Friday,casual,2652
18,Friday,member,4319
18,Saturday,casual,2505
18,Saturday,member,2636
19,Sunday,casual,1569
19,Sunday,member,2100
19,Monday,casual,1479
19,Monday,member,3124
19,Tuesday,casual,1468
19,Tuesday,member,3343
19,Wednesday,casual,2250
19,Wednesday,member,4384
19,Thursday,casual,1800
19,Thursday,member,3436
19,Friday,casual,2070
19,Friday,member,3038
19,Saturday,casual,1827
19,Saturday,member,2039
20,Sunday,casual,1080
20,Sunday,member,1489
20,Monday,casual,1072
20,Monday,member,2126
20,Tuesday,casual,1129
20,Tuesday,member,2292
20,Wednesday,casual,1789
20,Wednesday,member,3116
20,Thursday,casual,1396
20,Thursday,member,2516
20,Friday,casual,1583
20,Friday,member,2205
20,Saturday,casual,1490
20,Saturday,member,1562
21,Sunday,casual,837
21,Sunday,member,1109
21,Monday,casual,768
21,Monday,member,1371
21,Tuesday,casual,804
21,Tuesday,member,1650
21,Wednesday,casual,1333
21,Wednesday,member,2261
21,Thursday,casual,1048
21,Thursday,member,1804
21,Friday,casual,1146
21,Friday,member,1570
21,Saturday,casual,1323
21,Saturday,member,1368
22,Sunday,casual,659
22,Sunday,member,712
22,Monday,casual,533
22,Monday,member,806
22,Tuesday,casual,622
22,Tuesday,member,981
22,Wednesday,casual,951
22,Wednesday,member,1416
22,Thursday,casual,845
22,Thursday,member,1284
22,Friday,casual,1132
22,Friday,member,1289
22,Saturday,casual,1332
22,Saturday,member,1210
23,Sunday,casual,404
23,Sunday,member,399
23,Monday,casual,319
23,Monday,member,405
23,Tuesday,casual,345
23,Tuesday,member,542
23,Wednesday,casual,519
23,Wednesday,member,753
23,Thursday,casual,555
23,Thursday,member,745
23,Friday,casual,947
23,Friday,member,993
23,Saturday,casual,912
23,Saturday,member,877
